Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
$1899,Lenovo Legion 7i,Core i7-10750H,NVIDIA RTX 2070 8GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/Lenovo_Legion_7i.jpg,gaming,$1899 'High/Extreme-High',gaming,Lenovo,Top
$1899,Lenovo Legion Y740 2080,Core i7-8750H,NVIDIA RTX 2080 8GB,16GB,-,512GB,"17.3"" 1920x1080 144hz",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/Lenovo_Legion_Y740_2080.jpg,gaming,$1899 'High/Extreme-High',gaming,Lenovo,Top
$1899,Razer Blade Stealth 13,Core i7-1065G7,NVIDIA GTX 1650 Ti 4GB,16GB,-,512GB,"13.3"" 3840x2160 4K Touch",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Razer_Blade_Stealth_13.jpg,gaming,$1899 'High/Extreme-High',gaming,Razer,Top
$199,HP Stream 11,Celeron N3060,Intel HD Graphics,4GB,-,32GB,"11.6"" 1366x768 TN",Extreme-Low/Low,4,http://lappylist.com/images/laptop/HP%20Stream.jpg,ultraportable,$199 'Extreme-Low/Low',ultraportable,HP,Top
$1993,Apple Macbook Pro 15 w/ bar,i7-6700HQ,AMD Radeon Pro 450,16GB,-,256GB PCIe,"15.4"" 2880x1800 IPS",High/Extreme-High,10,http://lappylist.com/images/laptop/Apple%20Macbook%20Pro%2015%20touchbar.jpg,"programming,mainstream",$1993 'High/Extreme-High',"programming,mainstream",Apple,Top
$1999,HP OMEN X 2S,Core i7-9750H,NVIDIA RTX 2070 8 GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",High/Extreme-High,9,https://lappylist.com/images/2020_laptop/HP_OMEN_X_2S.jpg,gaming,$1999 'High/Extreme-High',gaming,HP,Top
$202,Dell Inspiron 11,Celeron N3060,Intel HD Graphics,2GB,-,32GB,"11.6"" 1366x768 TN",Extreme-Low/Low,5,http://lappylist.com/images/laptop/Dell%20Inspiron%2011.jpg,ultraportable,$202 'Extreme-Low/Low',ultraportable,Dell,Top
$219,HP Stream 13,Celeron N3050,Intel HD Graphics,2GB,-,32GB,"13.3"" 1366x768 TN",Extreme-Low/Low,4,http://lappylist.com/images/laptop/HP%20Stream.jpg,ultraportable,$219 'Extreme-Low/Low',ultraportable,HP,Top
$2199,Gigabyte AERO 15 ,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 3840x2160 AMOLED",High/Extreme-High,9,https://lappylist.com/images/2020_laptop/Gigabyte_AERO_15.jpg,gaming,$2199 'High/Extreme-High',gaming,Gigabyte,Top
$2299,Razer Blade 15 Advanced,Core i7-10875H,NVIDIA RTX 2070 8 GB,16GB,-,512GB,"15.6"" 1920x1080 144hz",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/Razer_Blade_15_Advanced.jpg,gaming,$2299 'High/Extreme-High',gaming,Razer,Top
$249,Lenovo IdeaPad 100s,Celeron N3050,Intel HD Graphics,2GB,-,64GB,"14"" 1366x738 TN",Extreme-Low/Low,4,http://lappylist.com/images/laptop/Lenovo%20IdeaPad%20100s.jpg,ultraportable,$249 'Extreme-Low/Low',ultraportable,Lenovo,Top
$249,Lenovo IdeaPad 120s,Celeron N3350,Intel HD Graphics 500,4GB,-,64GB,"14"" 1366x738 TN",Extreme-Low/Low,4,http://lappylist.com/images/laptop/Lenovo%20IdeaPad%20100s.jpg,"programming,mainstream",$249 'Extreme-Low/Low',"programming,mainstream",Lenovo,Top
$2519,Alienware Area 51M,Core i7-10700K,NVIDIA RTX 2070 8GB,16GB,-,1TB,"17.3"" 1920x1080 300hz",High/Extreme-High,9,https://lappylist.com/images/2020_laptop/Alienware_Area_51M.jpg,gaming,$2519 'High/Extreme-High',gaming,Alienware,Top
$258,Asus Vivobook E403NA,Celeron N3350,Intel HD Graphics 500,4GB,-,64GB,"14"" 1920x1080 TN",Extreme-Low/Low,4,http://lappylist.com/images/laptop/Asus%20E402SA.jpg,"programming,mainstream",$258 'Extreme-Low/Low',"programming,mainstream",Asus,Top
$259,HP Pavilion x2 10t,Atom x5-Z8350,Intel HD Graphics,2GB,-,32GB,"10.1"" 1280x800 IPS Touch w/ Pen",Extreme-Low/Low,5,http://lappylist.com/images/laptop/HP%20Pavilion%20x2%2010t.jpg,convertible,$259 'Extreme-Low/Low',convertible,HP,Top
$2649,MSI GE66 Raider 10SGS,Core i7-10875H,NVIDIA RTX 2080 8GB,32GB,-,1TB,"15.6"" 1920x1080 300hz",High/Extreme-High,7,https://lappylist.com/images/2020_laptop/MSI_GE66_Raider_10SGS.jpg,gaming,$2649 'High/Extreme-High',gaming,MSI,Top
$3125,Asus ROG Zephyrus Duo i7,Core i7-10875H,NVIDIA RTX 2070S 8GB,32GB,-,2TB,"15.6"" 1920x1080 300hz IPS",High/Extreme-High,10,https://lappylist.com/images/2020_laptop/Asus_ROG_Zephyrus_Duo_i7.jpg,gaming,$3125 'High/Extreme-High',gaming,Asus,Top
$316,Dell Inspiron 11 2 in 1,Pentium N3710,Intel HD Graphics,4GB,500GB 5400RPM,-,"11"" 1366x768 TN Touch",Extreme-Low/Low,5,http://lappylist.com/images/laptop/Dell%20Inspiron%2011%202in1.jpg,convertible,$316 'Extreme-Low/Low',convertible,Dell,Top
$329,Lenovo ThinkPad T440 (refurb),i5-4300U,Intel HD 4400,8GB,640GB 5400RPM,-,"14"" 1600x900 TN",Extreme-Low/Low,9,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20T440.jpg,programming,$329 'Extreme-Low/Low',programming,Lenovo,Top
$349,Acer Aspire E15-575,i3 7100U,Intel Graphics 620,4GB,1TB 5400RPM,-,"15.6"" 1920x1080 TN",Extreme-Low/Low,5,http://lappylist.com/images/laptop/Acer%20Aspire%20E15%20575.jpg,"programming,mainstream",$349 'Extreme-Low/Low',"programming,mainstream",Acer,Top
$369,Microsoft Surface 3,Atom x7-Z8700,Intel HD Graphics,2GB,-,64GB,"10.8"" 1920x1080 IPS",Extreme-Low/Low,8,http://lappylist.com/images/laptop/Microsoft%20Surface%20Pro%203.jpg,"ultraportable,convertible",$369 'Extreme-Low/Low',"ultraportable,convertible",Microsoft,Top
$377,Asus T102HA,Atom x5-Z8350,Intel HD Graphics,4GB,-,128GB,"10.1"" 1280x800 Touch w/ Pen",Extreme-Low/Low,5,http://lappylist.com/images/laptop/Asus%20T100HA.jpg,convertible,$377 'Extreme-Low/Low',convertible,Asus,Top
$427,Asus T300CHI,M-5Y70,Intel HD 5300,4GB,-,128GB,"12.5"" 1920x1080 IPS Touch",Extreme-Low/Low,7,http://lappylist.com/images/laptop/ASUS%20T300chi.jpg,convertible,$427 'Extreme-Low/Low',convertible,Asus,Top
$444,Asus F441,AMD A9-9420,AMD Radeon R5,8GB,1TB 5400RPM,-,"14"" 1920x1080 TN",Extreme-Low/Low,5,http://lappylist.com/images/laptop2018/Asus%20Vivobook%20F441.jpg,mainstream,$444 'Extreme-Low/Low',mainstream,Asus,Top
$469,Lenovo ThinkPad T440s (refurb),i7-4600U,Intel HD 4400,12GB,-,240GB,"14"" 1600x900 TN",Extreme-Low/Low,9,http://www.lappylist.com/images/laptop/Lenovo%20ThinkPad%20T440.jpg,programming,$469 'Extreme-Low/Low',programming,Lenovo,Top
